speaker,session,task,pitch_mean,pitch_std,pitch_kurt,pitch_skew,formant_1_mean,formant_1_std,formant_1_kurt,formant_1_skew,formant_2_mean,formant_2_std,formant_2_kurt,formant_2_skew,formant_3_mean,formant_3_std,formant_3_kurt,formant_3_skew
63,2,2,114.7597801,1.386353207,15.70113902,2.62682713,705.2248976,0.731841062,-0.029030223,1.039248507,1855.038345,0.300720867,0.26069052,0.628827646,2975.382176,0.193302454,-0.347121507,0.77320357
63,2,3,114.4727384,1.55253385,19.04598391,3.341133249,740.6695131,0.663354458,0.393378953,1.117685316,1830.621798,0.294472414,0.433551413,0.753721487,2926.110109,0.20556968,-0.612951196,0.571530295
63,2,4,117.0340443,1.194947706,13.24139307,2.230762391,829.5183228,0.608103939,-1.036181062,0.329259472,1862.709332,0.268059942,-0.293209128,0.50674688,3138.597531,0.208428438,-0.974252356,0.001709217
64,1,1,127.05487,0.835944502,3.24215291,0.403707589,538.1163974,0.679995623,6.15288375,2.358673164,1691.394499,0.281232415,-0.034276513,0.45796587,2705.080238,0.15047184,1.822558476,1.148409321
64,1,2,129.3463095,0.758339481,9.809106968,1.299464554,549.7881267,0.690560704,5.219809944,2.18272965,1694.325339,0.2794982,-0.161600846,0.311313832,2696.798906,0.15805464,1.45634828,0.944716581
64,1,3,118.8892104,0.805630316,8.444874229,0.987033691,578.1237995,0.691144618,3.39228044,1.867158496,1761.124504,0.262608331,-0.002759839,0.379499772,2744.325411,0.152711824,1.567793645,0.991436674
64,1,4,125.3018302,0.894763239,13.30178459,2.466797236,571.0461314,0.58029016,3.116026276,1.67023852,1614.884808,0.25424326,0.081541247,0.731207527,2642.302701,0.161094388,1.797063967,0.938946898
64,2,1,123.1987095,0.79233766,3.30067262,0.350277728,583.2416104,0.702394851,3.764589828,1.997531242,1750.354647,0.278741442,-0.066606741,0.450860338,2766.843447,0.164278922,0.918528631,1.012302452
64,2,2,124.6946338,0.817323185,7.949782228,1.01576013,606.4679424,0.718499634,2.059061879,1.601305467,1798.01374,0.281483244,-0.229124476,0.252078801,2818.839792,0.170567056,0.901111486,1.028502743
64,2,3,118.645182,0.863936888,8.266556366,1.064041632,641.1386905,0.721228186,1.872558138,1.579419792,1777.048927,0.291568922,-0.40398847,0.346625161,2809.452171,0.1733999,0.401491342,0.775769743
64,2,4,110.3880057,0.849199856,14.64628419,1.802781262,641.9920501,0.694252931,1.21952212,1.254483398,1722.767943,0.280383221,-0.551400909,0.554820751,2824.239441,0.178407211,0.12527768,0.860370163
65,1,1,114.148053,0.887010954,6.837752623,0.924008999,541.4686066,0.592622206,7.399663656,2.574491437,1546.530787,0.320765546,0.153183813,0.601433187,2655.636025,0.173272165,0.87541388,1.106715226
65,1,2,113.4618104,0.865187065,11.15962257,1.335962324,555.1153678,0.602495482,4.987594219,2.150775648,1600.549181,0.327841211,-0.057177555,0.465418291,2751.81007,0.171695642,0.453105526,1.002861515
65,1,3,120.0775469,0.808113049,8.665090102,1.175232447,523.3341912,0.581316963,7.598518228,2.69730305,1471.195777,0.325162551,0.238362263,0.603695024,2574.251474,0.170092123,1.833614577,1.397006733
65,1,4,119.2592609,1.050176903,18.94722743,3.293766112,551.1755125,0.549740328,6.694614954,2.223478999,1497.521369,0.333179554,0.47655488,0.964478992,2611.867182,0.20637733,0.395320413,1.126326484
65,2,1,115.159511,0.828486012,6.651880599,0.704868411,544.5815719,0.614756404,5.705856415,2.358002568,1596.350047,0.308512063,-0.246167214,0.441763821,2733.313573,0.166779806,0.330557261,0.965001099
65,2,2,115.9821229,0.750075917,6.718836211,0.574298402,510.5911503,0.644562792,6.350665369,2.450833756,1656.885999,0.312041454,0.123266486,0.440336654,2812.013973,0.16089098,0.780286275,1.030461962
65,2,3,118.1688278,0.769631968,8.758678008,0.997638064,541.1062342,0.630718777,4.535132779,2.261525319,1565.119009,0.324364945,-0.170367078,0.488886422,2696.49778,0.160267164,1.294673089,1.233751729
